Wind Farm,Severity Score
ESPARTAL,0.4389594306318259
COTEREJON II,0.40785657212451343
COTERA,0.3719275791689437
TOP OF IOWA II,0.34604932194040616
BARTON II,0.3398115521200318
NACIMIENTO,0.3367117591218908
CERRO BLANCO,0.3346405014545585
ALTO MONÇAO,0.3328666159955551
CAYUGA RIDGE,0.32756966188003833
SABINA,0.32605254126490124
GROTON,0.3239741728822183
TACICA DE PLATA,0.3235861725611963
ZORRERAS,0.32285618410633876
PROVIDENCE HEIGHTS,0.3220554966393482
CLARES,0.321076671515747
BARTON I,0.31851223045773436
VIEIRO,0.3182127783725372
SOMBRIO,0.3132310510596364
PARAMO VEGA,0.3129834136610197
BULLANA,0.30884024109584735
VIÑAS,0.307178293734463
VENTOSA DEL DUCADO,0.3062154001199665
LEMPSTER,0.30503980906037215
HUENEJA III,0.3017506164339938
BUFFALO RIDGE II,0.29894641181412945
CAMPILLOS,0.2977885526286235
DOÑA BENITA,0.2944868179080837
CABEZUELO,0.2933379164558683
VENZO,0.29118693121352707
MIHAI VITEAZU,0.2901300768978318
BARTON CHAPEL,0.28896841959198394
PUERTO DE MALAGA,0.2877069979948033
LAYNA,0.28667085313404955
DOS PUEBLOS,0.28648221484360614
ALVAO,0.28348304004871805
ESCALON,0.2826955125255611
ALBUREJOS,0.2818716425926158
CERRO HIGUERA,0.2816850136437418
VIRGEN DE BELEN I,0.28107909120946595
MARANCHON IV,0.2803343911849053
ARACHNAIO II,0.2796590122611568
MARK HILL,0.2796257192359927
BOLAÑOS,0.2760538704705372
CHORREADEROS BAJOS,0.2720801212337099
MARANCHON SUR,0.2716059051910035
MORON DE ALMAZAN,0.26853288280646886
URBEL DEL CASTILLO II,0.2659546916534913
CHORREADEROS ALTOS,0.2658781222662117
MARANCHON I,0.26297875266339865
DOLAR III,0.2610123429476797
FERREIRA II,0.2592188665699268
LUZON NORTE,0.25696967589291697
TARAYUELA,0.25243623316935004
BUREBA,0.2518379200517975
HARESTANES,0.2517121019420845
CALANGO V,0.24746491347016375
PICO COLLALBAS,0.2470791654778992
BORDECOREX NORTE,0.24226490096753278
DEERFIELD,0.24114703546064672
CALANGO II,0.23568473016479097
CALANGO I,0.23434537723563378
