FEC_HORA_INI,NOM_ELEMENTO,COD_ELEMENTO,NOM_INSTALACION,BIN_YAW,Sum_Of_Avg_W_In_Bin,Yaw_Bin_Rank
2020-10-01,A01,5426.0,VIEIRO,"(26, Infinito]",1000.08,1.0
2020-10-01,A02,5427.0,VIEIRO,"(26, Infinito]",592.42,1.0
2020-10-01,A03,5428.0,VIEIRO,"(26, Infinito]",1111.0,1.0
2020-10-01,A04,5429.0,VIEIRO,"(26, Infinito]",985.01,1.0
2020-10-01,A05,5430.0,VIEIRO,"(26, Infinito]",1018.6,1.0
2020-10-01,A06,5418.0,VIEIRO,"(26, Infinito]",1162.53,1.0
2020-10-01,A07,5419.0,VIEIRO,"(26, Infinito]",1052.22,1.0
2020-10-01,A08,5431.0,VIEIRO,"(6, 10]",2552.11,1.0
2020-10-01,A08,5431.0,VIEIRO,"(2, 6]",2545.06,2.0
2020-10-01,A08,5431.0,VIEIRO,"(-2, 2]",2532.27,3.0
2020-10-01,A08,5431.0,VIEIRO,"(-6, -2]",2482.91,4.0
2020-10-01,A08,5431.0,VIEIRO,"(10, 14]",2456.21,5.0
2020-10-01,A08,5431.0,VIEIRO,"(-10, -6]",2402.8,6.0
2020-10-01,A08,5431.0,VIEIRO,"(14, 18]",2343.95,7.0
2020-10-01,A08,5431.0,VIEIRO,"(18, 22]",2253.29,8.0
2020-10-01,A08,5431.0,VIEIRO,"(-14, -10]",2138.64,9.0
2020-10-01,A08,5431.0,VIEIRO,"(22, 26]",2115.8,10.0
2020-10-01,A08,5431.0,VIEIRO,"(-18, -14]",1713.59,11.0
2020-10-01,A08,5431.0,VIEIRO,"(-22, -18]",1510.65,12.0
2020-10-01,A08,5431.0,VIEIRO,"(26, Infinito]",732.86,13.0
2020-10-01,A08,5431.0,VIEIRO,"(-26, -22]",479.68,14.0
2020-10-01,A08,5431.0,VIEIRO,"(-Infinito, -26]",387.99,15.0
2020-10-01,A10,5420.0,VIEIRO,"(26, Infinito]",864.09,1.0
2020-10-01,A11,5416.0,VIEIRO,"(10, 14]",2495.5,1.0
2020-10-01,A11,5416.0,VIEIRO,"(14, 18]",2470.27,2.0
2020-10-01,A11,5416.0,VIEIRO,"(6, 10]",2444.23,3.0
2020-10-01,A11,5416.0,VIEIRO,"(18, 22]",2441.36,4.0
2020-10-01,A11,5416.0,VIEIRO,"(2, 6]",2399.66,5.0
2020-10-01,A11,5416.0,VIEIRO,"(-2, 2]",2351.05,6.0
2020-10-01,A11,5416.0,VIEIRO,"(22, 26]",2306.98,7.0
2020-10-01,A11,5416.0,VIEIRO,"(-6, -2]",2290.11,8.0
2020-10-01,A11,5416.0,VIEIRO,"(-10, -6]",2155.08,9.0
2020-10-01,A11,5416.0,VIEIRO,"(-14, -10]",1914.95,10.0
2020-10-01,A11,5416.0,VIEIRO,"(-18, -14]",1595.19,11.0
2020-10-01,A11,5416.0,VIEIRO,"(26, Infinito]",808.15,12.0
2020-10-01,A11,5416.0,VIEIRO,"(-26, -22]",536.29,13.0
2020-10-01,A11,5416.0,VIEIRO,"(-22, -18]",534.37,14.0
2020-10-01,A11,5416.0,VIEIRO,"(-Infinito, -26]",452.33,15.0
2020-10-01,A12,5421.0,VIEIRO,"(26, Infinito]",1042.17,1.0
2020-10-01,A13,5422.0,VIEIRO,"(26, Infinito]",759.43,1.0
2020-10-01,A14,5423.0,VIEIRO,"(26, Infinito]",1144.36,1.0
2020-10-01,A15,5424.0,VIEIRO,"(26, Infinito]",986.57,1.0
2020-10-01,A16,5425.0,VIEIRO,"(26, Infinito]",1025.59,1.0
2020-10-01,A17,5415.0,VIEIRO,"(26, Infinito]",1183.93,1.0
2020-10-01,A18,5433.0,VIEIRO,"(26, Infinito]",868.71,1.0
2020-10-01,A19,5417.0,VIEIRO,"(26, Infinito]",807.92,1.0
