,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
0,,CANOAS,31114819.0,2040.0,15823.0,62365035.0,"(12, 15]","(2, 6]",69590.0,2002.39,13.05,24.28,1989.49,2.0,2020-10-01,2020-11-01
1,,CANOAS,31114818.0,2040.0,15823.0,62365035.0,"(12, 15]","(-2, 2]",92480.0,2001.88,13.05,26.69,1989.01,6.0,2020-10-01,2020-11-01
2,,CANOAS,31114817.0,2040.0,15823.0,62365035.0,"(12, 15]","(-6, -2]",68750.0,2002.0,13.05,28.42,1989.15,5.0,2020-10-01,2020-11-01
3,,CANOAS,31114816.0,2040.0,15823.0,62365035.0,"(12, 15]","(-10, -6]",29470.0,2001.32,13.02,40.56,1988.72,7.0,2020-10-01,2020-11-01
4,,CANOAS,31114815.0,2040.0,15823.0,62365035.0,"(12, 15]","(-14, -10]",8490.0,2002.17,12.93,60.83,1990.16,4.0,2020-10-01,2020-11-01
5,,CANOAS,31114814.0,2040.0,15823.0,62365035.0,"(12, 15]","(-18, -14]",2260.0,1982.89,12.81,112.64,1973.3,9.0,2020-10-01,2020-11-01
6,,CANOAS,31114813.0,2040.0,15823.0,62365035.0,"(12, 15]","(-22, -18]",500.0,1922.35,12.79,158.36,1916.12,13.0,2020-10-01,2020-11-01
7,,CANOAS,31114812.0,2040.0,15823.0,62365035.0,"(12, 15]","(-26, -22]",240.0,1928.9,12.77,159.63,1922.78,12.0,2020-10-01,2020-11-01
8,,CANOAS,31114811.0,2040.0,15823.0,62365035.0,"(12, 15]","(-Infinito, -26]",110.0,1825.34,12.53,229.67,1827.3,15.0,2020-10-01,2020-11-01
9,,CANOAS,31114810.0,2040.0,15823.0,62365035.0,"(9, 12]","(26, Infinito]",1710.0,1450.6,9.84,459.62,1512.3,13.0,2020-10-01,2020-11-01
10,,CANOAS,31114809.0,2040.0,15823.0,62365035.0,"(9, 12]","(22, 26]",2020.0,1673.69,10.11,376.56,1705.66,10.0,2020-10-01,2020-11-01
11,,CANOAS,31114808.0,2040.0,15823.0,62365035.0,"(9, 12]","(18, 22]",4010.0,1753.95,10.03,345.56,1777.82,9.0,2020-10-01,2020-11-01
12,,CANOAS,31114807.0,2040.0,15823.0,62365035.0,"(9, 12]","(14, 18]",9160.0,1819.73,10.09,288.71,1832.53,7.0,2020-10-01,2020-11-01
13,,CANOAS,31114806.0,2040.0,15823.0,62365035.0,"(9, 12]","(10, 14]",26760.0,1882.37,10.11,222.13,1885.39,5.0,2020-10-01,2020-11-01
14,,CANOAS,31114805.0,2040.0,15823.0,62365035.0,"(9, 12]","(6, 10]",79980.0,1916.71,10.21,190.89,1916.03,2.0,2020-10-01,2020-11-01
15,,CANOAS,31114804.0,2040.0,15823.0,62365035.0,"(9, 12]","(2, 6]",176040.0,1924.39,10.36,185.09,1922.95,1.0,2020-10-01,2020-11-01
16,,CANOAS,31114803.0,2040.0,15823.0,62365035.0,"(9, 12]","(-2, 2]",228310.0,1916.66,10.4,194.09,1916.11,3.0,2020-10-01,2020-11-01
17,,CANOAS,31114802.0,2040.0,15823.0,62365035.0,"(9, 12]","(-6, -2]",174740.0,1886.05,10.4,223.8,1888.95,4.0,2020-10-01,2020-11-01
18,,CANOAS,31114801.0,2040.0,15823.0,62365035.0,"(9, 12]","(-10, -6]",92540.0,1843.11,10.39,260.04,1851.08,6.0,2020-10-01,2020-11-01
19,,CANOAS,31114800.0,2040.0,15823.0,62365035.0,"(9, 12]","(-14, -10]",35700.0,1756.76,10.32,309.33,1773.62,8.0,2020-10-01,2020-11-01
20,,CANOAS,31114799.0,2040.0,15823.0,62365035.0,"(9, 12]","(-18, -14]",12360.0,1637.59,10.28,361.18,1666.91,11.0,2020-10-01,2020-11-01
21,,CANOAS,31114798.0,2040.0,15823.0,62365035.0,"(9, 12]","(-22, -18]",4530.0,1495.57,10.17,405.12,1539.65,12.0,2020-10-01,2020-11-01
22,,CANOAS,31114797.0,2040.0,15823.0,62365035.0,"(9, 12]","(-26, -22]",1750.0,1371.87,10.17,394.98,1417.83,14.0,2020-10-01,2020-11-01
23,,CANOAS,31114796.0,2040.0,15823.0,62365035.0,"(9, 12]","(-Infinito, -26]",1370.0,1097.78,10.15,464.92,1182.82,15.0,2020-10-01,2020-11-01
24,,CANOAS,31114795.0,2040.0,15823.0,62365035.0,"(6, 9]","(26, Infinito]",9930.0,815.84,7.18,397.26,900.97,12.0,2020-10-01,2020-11-01
25,,CANOAS,31114794.0,2040.0,15823.0,62365035.0,"(6, 9]","(22, 26]",6720.0,961.61,7.33,414.19,1040.29,9.0,2020-10-01,2020-11-01
26,,CANOAS,31114793.0,2040.0,15823.0,62365035.0,"(6, 9]","(18, 22]",11690.0,1003.95,7.36,407.67,1076.74,8.0,2020-10-01,2020-11-01
27,,CANOAS,31114792.0,2040.0,15823.0,62365035.0,"(6, 9]","(14, 18]",23030.0,1059.03,7.38,409.95,1128.74,6.0,2020-10-01,2020-11-01
28,,CANOAS,31114791.0,2040.0,15823.0,62365035.0,"(6, 9]","(10, 14]",51810.0,1138.94,7.49,422.81,1207.87,4.0,2020-10-01,2020-11-01
29,,CANOAS,31114790.0,2040.0,15823.0,62365035.0,"(6, 9]","(6, 10]",104790.0,1197.69,7.62,417.61,1261.22,1.0,2020-10-01,2020-11-01
30,,CANOAS,31114789.0,2040.0,15823.0,62365035.0,"(6, 9]","(2, 6]",163880.0,1187.55,7.62,420.01,1252.43,2.0,2020-10-01,2020-11-01
31,,CANOAS,31114788.0,2040.0,15823.0,62365035.0,"(6, 9]","(-2, 2]",186480.0,1143.31,7.61,416.75,1209.76,3.0,2020-10-01,2020-11-01
32,,CANOAS,31114787.0,2040.0,15823.0,62365035.0,"(6, 9]","(-6, -2]",155400.0,1084.24,7.59,405.86,1150.6,5.0,2020-10-01,2020-11-01
33,,CANOAS,31114786.0,2040.0,15823.0,62365035.0,"(6, 9]","(-10, -6]",99530.0,1006.46,7.55,388.99,1071.98,7.0,2020-10-01,2020-11-01
