,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
0,T060,EL CABO,31215210.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(26, Infinito]",50.0,1138.28,15.3,789.1,1372.5,13.0,2020-10-01,2020-11-01
1,T060,EL CABO,31215209.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(22, 26]",840.0,2010.69,15.82,259.53,2011.68,1.0,2020-10-01,2020-11-01
2,T060,EL CABO,31215208.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(18, 22]",110.0,1937.03,15.74,92.68,1923.53,4.0,2020-10-01,2020-11-01
3,T060,EL CABO,31215207.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(14, 18]",60.0,1428.37,16.1,519.93,1504.93,11.0,2020-10-01,2020-11-01
4,T060,EL CABO,31215206.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(10, 14]",100.0,1354.4,16.2,671.96,1497.43,12.0,2020-10-01,2020-11-01
5,T060,EL CABO,31215205.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(6, 10]",140.0,1807.08,15.6,452.15,1847.66,7.0,2020-10-01,2020-11-01
6,T060,EL CABO,31215204.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(2, 6]",520.0,1955.33,15.81,104.8,1942.35,2.0,2020-10-01,2020-11-01
7,T060,EL CABO,31215203.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-2, 2]",630.0,1936.29,15.85,172.15,1928.14,5.0,2020-10-01,2020-11-01
8,T060,EL CABO,31215202.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-6, -2]",460.0,1943.06,15.91,136.9,1932.01,3.0,2020-10-01,2020-11-01
9,T060,EL CABO,31215201.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-10, -6]",300.0,1851.18,15.53,219.31,1848.7,6.0,2020-10-01,2020-11-01
10,T060,EL CABO,31215200.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-14, -10]",1270.0,1680.16,16.21,334.3,1697.2,9.0,2020-10-01,2020-11-01
11,T060,EL CABO,31215199.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-18, -14]",480.0,1730.81,15.93,290.85,1739.37,8.0,2020-10-01,2020-11-01
12,T060,EL CABO,31215198.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-22, -18]",170.0,1557.92,16.34,437.0,1602.32,10.0,2020-10-01,2020-11-01
13,T060,EL CABO,31215197.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-26, -22]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
14,T060,EL CABO,31215196.0,2006.0,15587.0,62409829.0,"(15, Infinito]","(-Infinito, -26]",60.0,1097.2,16.0,233.3,1106.08,14.0,2020-10-01,2020-11-01
15,T060,EL CABO,31215195.0,2006.0,15587.0,62409829.0,"(12, 15]","(26, Infinito]",60.0,1556.51,13.64,402.63,1594.54,12.0,2020-10-01,2020-11-01
16,T060,EL CABO,31215194.0,2006.0,15587.0,62409829.0,"(12, 15]","(22, 26]",1290.0,1885.39,13.86,302.88,1895.88,8.0,2020-10-01,2020-11-01
17,T060,EL CABO,31215193.0,2006.0,15587.0,62409829.0,"(12, 15]","(18, 22]",590.0,1814.15,13.81,277.08,1821.54,9.0,2020-10-01,2020-11-01
18,T060,EL CABO,31215192.0,2006.0,15587.0,62409829.0,"(12, 15]","(14, 18]",260.0,1687.51,13.16,431.04,1728.94,10.0,2020-10-01,2020-11-01
19,T060,EL CABO,31215191.0,2006.0,15587.0,62409829.0,"(12, 15]","(10, 14]",750.0,1912.23,13.16,362.88,1933.43,6.0,2020-10-01,2020-11-01
20,T060,EL CABO,31215190.0,2006.0,15587.0,62409829.0,"(12, 15]","(6, 10]",2660.0,1960.25,12.91,338.5,1976.55,4.0,2020-10-01,2020-11-01
21,T060,EL CABO,31215189.0,2006.0,15587.0,62409829.0,"(12, 15]","(2, 6]",5030.0,2002.27,12.98,231.7,2002.74,2.0,2020-10-01,2020-11-01
22,T060,EL CABO,31215188.0,2006.0,15587.0,62409829.0,"(12, 15]","(-2, 2]",4820.0,2004.66,13.07,219.86,2003.69,1.0,2020-10-01,2020-11-01
23,T060,EL CABO,31215187.0,2006.0,15587.0,62409829.0,"(12, 15]","(-6, -2]",5410.0,1997.68,12.86,193.65,1994.24,3.0,2020-10-01,2020-11-01
24,T060,EL CABO,31215186.0,2006.0,15587.0,62409829.0,"(12, 15]","(-10, -6]",6740.0,1951.45,12.73,204.76,1949.5,5.0,2020-10-01,2020-11-01
25,T060,EL CABO,31215185.0,2006.0,15587.0,62409829.0,"(12, 15]","(-14, -10]",3430.0,1888.9,13.24,282.8,1896.87,7.0,2020-10-01,2020-11-01
26,T060,EL CABO,31215184.0,2006.0,15587.0,62409829.0,"(12, 15]","(-18, -14]",610.0,1601.75,13.58,533.46,1675.38,11.0,2020-10-01,2020-11-01
27,T060,EL CABO,31215183.0,2006.0,15587.0,62409829.0,"(12, 15]","(-22, -18]",210.0,1027.45,13.32,700.59,1232.59,13.0,2020-10-01,2020-11-01
28,T060,EL CABO,31215182.0,2006.0,15587.0,62409829.0,"(12, 15]","(-26, -22]",10.0,348.01,12.83,0.0,335.18,15.0,2020-10-01,2020-11-01
29,T060,EL CABO,31215181.0,2006.0,15587.0,62409829.0,"(12, 15]","(-Infinito, -26]",20.0,431.08,12.4,126.84,437.47,14.0,2020-10-01,2020-11-01
30,T060,EL CABO,31215180.0,2006.0,15587.0,62409829.0,"(9, 12]","(26, Infinito]",10.0,1782.47,10.18,0.0,1772.3,2.0,2020-10-01,2020-11-01
