,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
0,,LAGOA I,31103230.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(26, Infinito]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
1,,LAGOA I,31103229.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(22, 26]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
2,,LAGOA I,31103228.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(18, 22]",10.0,2067.48,15.1,0.0,2052.38,9.0,2020-10-01,2020-11-01
3,,LAGOA I,31103227.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(14, 18]",10.0,2067.27,15.17,0.0,2052.11,10.0,2020-10-01,2020-11-01
4,,LAGOA I,31103226.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(10, 14]",260.0,2089.13,15.55,27.19,2073.76,4.0,2020-10-01,2020-11-01
5,,LAGOA I,31103225.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(6, 10]",1010.0,2090.59,15.75,32.8,2075.1,2.0,2020-10-01,2020-11-01
6,,LAGOA I,31103224.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(2, 6]",3640.0,2082.98,15.78,29.37,2067.41,7.0,2020-10-01,2020-11-01
7,,LAGOA I,31103223.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-2, 2]",8470.0,2089.26,15.77,32.16,2073.74,3.0,2020-10-01,2020-11-01
8,,LAGOA I,31103222.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-6, -2]",7980.0,2088.14,15.8,32.59,2072.6,5.0,2020-10-01,2020-11-01
9,,LAGOA I,31103221.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-10, -6]",3390.0,2085.87,15.66,33.89,2070.49,6.0,2020-10-01,2020-11-01
10,,LAGOA I,31103220.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-14, -10]",650.0,2093.43,15.57,46.65,2078.39,1.0,2020-10-01,2020-11-01
11,,LAGOA I,31103219.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-18, -14]",120.0,2074.8,15.44,43.71,2059.82,8.0,2020-10-01,2020-11-01
12,,LAGOA I,31103218.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-22, -18]",10.0,1936.66,15.25,0.0,1921.42,11.0,2020-10-01,2020-11-01
13,,LAGOA I,31103217.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-26, -22]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
14,,LAGOA I,31103216.0,2000.0,15869.0,62364668.0,"(15, Infinito]","(-Infinito, -26]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
15,,LAGOA I,31103215.0,2000.0,15869.0,62364668.0,"(12, 15]","(26, Infinito]",80.0,2120.87,13.05,20.98,2107.93,1.0,2020-10-01,2020-11-01
16,,LAGOA I,31103214.0,2000.0,15869.0,62364668.0,"(12, 15]","(22, 26]",170.0,2077.38,12.72,66.48,2065.73,8.0,2020-10-01,2020-11-01
17,,LAGOA I,31103213.0,2000.0,15869.0,62364668.0,"(12, 15]","(18, 22]",300.0,2062.1,12.74,114.84,2052.57,10.0,2020-10-01,2020-11-01
18,,LAGOA I,31103212.0,2000.0,15869.0,62364668.0,"(12, 15]","(14, 18]",800.0,2075.11,13.01,76.22,2063.51,9.0,2020-10-01,2020-11-01
19,,LAGOA I,31103211.0,2000.0,15869.0,62364668.0,"(12, 15]","(10, 14]",3930.0,2080.92,13.09,90.78,2069.82,6.0,2020-10-01,2020-11-01
20,,LAGOA I,31103210.0,2000.0,15869.0,62364668.0,"(12, 15]","(6, 10]",17370.0,2086.5,13.02,76.53,2074.88,3.0,2020-10-01,2020-11-01
21,,LAGOA I,31103209.0,2000.0,15869.0,62364668.0,"(12, 15]","(2, 6]",48080.0,2085.84,13.1,60.04,2073.61,5.0,2020-10-01,2020-11-01
22,,LAGOA I,31103208.0,2000.0,15869.0,62364668.0,"(12, 15]","(-2, 2]",83940.0,2086.25,13.14,69.96,2074.29,4.0,2020-10-01,2020-11-01
23,,LAGOA I,31103207.0,2000.0,15869.0,62364668.0,"(12, 15]","(-6, -2]",84180.0,2086.52,13.14,75.72,2074.76,2.0,2020-10-01,2020-11-01
24,,LAGOA I,31103206.0,2000.0,15869.0,62364668.0,"(12, 15]","(-10, -6]",37390.0,2077.5,13.12,107.26,2067.16,7.0,2020-10-01,2020-11-01
25,,LAGOA I,31103205.0,2000.0,15869.0,62364668.0,"(12, 15]","(-14, -10]",9760.0,2042.15,13.04,176.86,2036.8,11.0,2020-10-01,2020-11-01
26,,LAGOA I,31103204.0,2000.0,15869.0,62364668.0,"(12, 15]","(-18, -14]",1960.0,1993.96,13.1,223.2,1993.39,12.0,2020-10-01,2020-11-01
27,,LAGOA I,31103203.0,2000.0,15869.0,62364668.0,"(12, 15]","(-22, -18]",730.0,1836.93,13.14,390.0,1865.03,13.0,2020-10-01,2020-11-01
28,,LAGOA I,31103202.0,2000.0,15869.0,62364668.0,"(12, 15]","(-26, -22]",250.0,1726.05,13.05,492.52,1782.4,14.0,2020-10-01,2020-11-01
29,,LAGOA I,31103201.0,2000.0,15869.0,62364668.0,"(12, 15]","(-Infinito, -26]",300.0,1425.53,12.9,495.25,1496.93,15.0,2020-10-01,2020-11-01
30,,LAGOA I,31103200.0,2000.0,15869.0,62364668.0,"(9, 12]","(26, Infinito]",1260.0,1420.71,9.79,479.9,1490.3,11.0,2020-10-01,2020-11-01
31,,LAGOA I,31103199.0,2000.0,15869.0,62364668.0,"(9, 12]","(22, 26]",1310.0,1613.22,10.01,396.44,1651.5,9.0,2020-10-01,2020-11-01
32,,LAGOA I,31103198.0,2000.0,15869.0,62364668.0,"(9, 12]","(18, 22]",2780.0,1683.56,10.02,413.98,1723.98,8.0,2020-10-01,2020-11-01
33,,LAGOA I,31103197.0,2000.0,15869.0,62364668.0,"(9, 12]","(14, 18]",6360.0,1805.0,10.06,340.79,1827.0,6.0,2020-10-01,2020-11-01
34,,LAGOA I,31103196.0,2000.0,15869.0,62364668.0,"(9, 12]","(10, 14]",21030.0,1857.06,10.14,342.34,1878.38,4.0,2020-10-01,2020-11-01
35,,LAGOA I,31103195.0,2000.0,15869.0,62364668.0,"(9, 12]","(6, 10]",70330.0,1903.32,10.23,284.19,1914.31,1.0,2020-10-01,2020-11-01
36,,LAGOA I,31103194.0,2000.0,15869.0,62364668.0,"(9, 12]","(2, 6]",151000.0,1891.85,10.31,285.88,1903.13,2.0,2020-10-01,2020-11-01
37,,LAGOA I,31103193.0,2000.0,15869.0,62364668.0,"(9, 12]","(-2, 2]",210520.0,1870.87,10.41,298.65,1884.28,3.0,2020-10-01,2020-11-01
38,,LAGOA I,31103192.0,2000.0,15869.0,62364668.0,"(9, 12]","(-6, -2]",174710.0,1824.27,10.47,332.24,1843.98,5.0,2020-10-01,2020-11-01
39,,LAGOA I,31103191.0,2000.0,15869.0,62364668.0,"(9, 12]","(-10, -6]",83190.0,1732.48,10.45,365.29,1760.35,7.0,2020-10-01,2020-11-01
40,,LAGOA I,31103190.0,2000.0,15869.0,62364668.0,"(9, 12]","(-14, -10]",26570.0,1569.88,10.33,407.38,1611.88,10.0,2020-10-01,2020-11-01
41,,LAGOA I,31103189.0,2000.0,15869.0,62364668.0,"(9, 12]","(-18, -14]",9170.0,1398.62,10.19,424.49,1451.87,12.0,2020-10-01,2020-11-01
42,,LAGOA I,31103188.0,2000.0,15869.0,62364668.0,"(9, 12]","(-22, -18]",3850.0,1275.02,10.16,430.87,1336.23,13.0,2020-10-01,2020-11-01
43,,LAGOA I,31103187.0,2000.0,15869.0,62364668.0,"(9, 12]","(-26, -22]",2010.0,1059.07,10.02,400.44,1122.88,14.0,2020-10-01,2020-11-01
44,,LAGOA I,31103186.0,2000.0,15869.0,62364668.0,"(9, 12]","(-Infinito, -26]",1830.0,835.1,10.14,402.64,917.97,15.0,2020-10-01,2020-11-01
45,,LAGOA I,31103185.0,2000.0,15869.0,62364668.0,"(6, 9]","(26, Infinito]",9200.0,773.42,7.15,398.67,863.77,11.0,2020-10-01,2020-11-01
46,,LAGOA I,31103184.0,2000.0,15869.0,62364668.0,"(6, 9]","(22, 26]",6420.0,907.88,7.24,404.01,987.1,8.0,2020-10-01,2020-11-01
47,,LAGOA I,31103183.0,2000.0,15869.0,62364668.0,"(6, 9]","(18, 22]",11840.0,929.85,7.2,408.6,1009.07,7.0,2020-10-01,2020-11-01
48,,LAGOA I,31103182.0,2000.0,15869.0,62364668.0,"(6, 9]","(14, 18]",23210.0,997.02,7.29,429.52,1078.92,5.0,2020-10-01,2020-11-01
49,,LAGOA I,31103181.0,2000.0,15869.0,62364668.0,"(6, 9]","(10, 14]",51570.0,1043.73,7.39,428.67,1121.49,3.0,2020-10-01,2020-11-01
50,,LAGOA I,31103180.0,2000.0,15869.0,62364668.0,"(6, 9]","(6, 10]",102280.0,1074.91,7.5,430.45,1150.94,1.0,2020-10-01,2020-11-01
51,,LAGOA I,31103179.0,2000.0,15869.0,62364668.0,"(6, 9]","(2, 6]",163520.0,1064.29,7.58,421.28,1137.59,2.0,2020-10-01,2020-11-01
52,,LAGOA I,31103178.0,2000.0,15869.0,62364668.0,"(6, 9]","(-2, 2]",184850.0,1018.98,7.61,410.29,1091.44,4.0,2020-10-01,2020-11-01
53,,LAGOA I,31103177.0,2000.0,15869.0,62364668.0,"(6, 9]","(-6, -2]",144940.0,945.45,7.58,385.49,1014.0,6.0,2020-10-01,2020-11-01
54,,LAGOA I,31103176.0,2000.0,15869.0,62364668.0,"(6, 9]","(-10, -6]",87120.0,865.49,7.51,362.11,931.27,9.0,2020-10-01,2020-11-01
55,,LAGOA I,31103175.0,2000.0,15869.0,62364668.0,"(6, 9]","(-14, -10]",41120.0,785.87,7.4,338.75,848.98,10.0,2020-10-01,2020-11-01
56,,LAGOA I,31103174.0,2000.0,15869.0,62364668.0,"(6, 9]","(-18, -14]",21100.0,713.26,7.34,313.53,772.41,12.0,2020-10-01,2020-11-01
57,,LAGOA I,31103173.0,2000.0,15869.0,62364668.0,"(6, 9]","(-22, -18]",10830.0,638.83,7.32,292.68,696.03,13.0,2020-10-01,2020-11-01
