,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
0,,LAGOA II,31100440.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(26, Infinito]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
1,,LAGOA II,31100439.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(22, 26]",10.0,2109.96,15.38,0.0,2094.58,1.0,2020-10-01,2020-11-01
2,,LAGOA II,31100438.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(18, 22]",40.0,2104.64,15.77,4.42,2088.88,4.0,2020-10-01,2020-11-01
3,,LAGOA II,31100437.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(14, 18]",190.0,2104.74,16.04,7.54,2088.71,3.0,2020-10-01,2020-11-01
4,,LAGOA II,31100436.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(10, 14]",1050.0,2105.02,15.87,13.55,2089.2,2.0,2020-10-01,2020-11-01
5,,LAGOA II,31100435.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(6, 10]",4290.0,2102.96,15.92,8.38,2087.06,9.0,2020-10-01,2020-11-01
6,,LAGOA II,31100434.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(2, 6]",8660.0,2103.26,16.01,10.25,2087.28,7.0,2020-10-01,2020-11-01
7,,LAGOA II,31100433.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-2, 2]",8560.0,2103.4,15.87,7.78,2087.55,6.0,2020-10-01,2020-11-01
8,,LAGOA II,31100432.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-6, -2]",6050.0,2102.6,15.76,7.59,2086.85,10.0,2020-10-01,2020-11-01
9,,LAGOA II,31100431.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-10, -6]",2410.0,2103.11,15.75,8.29,2087.38,8.0,2020-10-01,2020-11-01
10,,LAGOA II,31100430.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-14, -10]",970.0,2104.36,15.72,5.79,2088.65,5.0,2020-10-01,2020-11-01
11,,LAGOA II,31100429.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-18, -14]",330.0,2101.85,15.55,4.76,2086.3,11.0,2020-10-01,2020-11-01
12,,LAGOA II,31100428.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-22, -18]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
13,,LAGOA II,31100427.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-26, -22]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
14,,LAGOA II,31100426.0,2001.0,15782.0,62364517.0,"(15, Infinito]","(-Infinito, -26]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
15,,LAGOA II,31100425.0,2001.0,15782.0,62364517.0,"(12, 15]","(26, Infinito]",120.0,1929.63,12.43,180.75,1925.71,14.0,2020-10-01,2020-11-01
16,,LAGOA II,31100424.0,2001.0,15782.0,62364517.0,"(12, 15]","(22, 26]",410.0,2028.01,12.94,238.43,2029.12,13.0,2020-10-01,2020-11-01
17,,LAGOA II,31100423.0,2001.0,15782.0,62364517.0,"(12, 15]","(18, 22]",1390.0,2095.49,12.99,81.76,2084.1,9.0,2020-10-01,2020-11-01
18,,LAGOA II,31100422.0,2001.0,15782.0,62364517.0,"(12, 15]","(14, 18]",4030.0,2095.25,12.95,81.63,2083.9,10.0,2020-10-01,2020-11-01
19,,LAGOA II,31100421.0,2001.0,15782.0,62364517.0,"(12, 15]","(10, 14]",11240.0,2104.81,13.08,52.82,2092.39,7.0,2020-10-01,2020-11-01
20,,LAGOA II,31100420.0,2001.0,15782.0,62364517.0,"(12, 15]","(6, 10]",26130.0,2107.4,13.19,34.73,2094.5,1.0,2020-10-01,2020-11-01
21,,LAGOA II,31100419.0,2001.0,15782.0,62364517.0,"(12, 15]","(2, 6]",41260.0,2107.08,13.25,33.01,2094.1,3.0,2020-10-01,2020-11-01
22,,LAGOA II,31100418.0,2001.0,15782.0,62364517.0,"(12, 15]","(-2, 2]",48760.0,2106.76,13.22,45.19,2094.03,4.0,2020-10-01,2020-11-01
23,,LAGOA II,31100417.0,2001.0,15782.0,62364517.0,"(12, 15]","(-6, -2]",41730.0,2107.14,13.18,36.46,2094.27,2.0,2020-10-01,2020-11-01
24,,LAGOA II,31100416.0,2001.0,15782.0,62364517.0,"(12, 15]","(-10, -6]",24720.0,2106.03,13.11,34.77,2093.21,5.0,2020-10-01,2020-11-01
25,,LAGOA II,31100415.0,2001.0,15782.0,62364517.0,"(12, 15]","(-14, -10]",10120.0,2105.87,13.03,40.65,2093.23,6.0,2020-10-01,2020-11-01
26,,LAGOA II,31100414.0,2001.0,15782.0,62364517.0,"(12, 15]","(-18, -14]",3800.0,2100.69,12.95,91.26,2089.74,8.0,2020-10-01,2020-11-01
27,,LAGOA II,31100413.0,2001.0,15782.0,62364517.0,"(12, 15]","(-22, -18]",1200.0,2080.59,12.87,91.19,2069.73,12.0,2020-10-01,2020-11-01
28,,LAGOA II,31100412.0,2001.0,15782.0,62364517.0,"(12, 15]","(-26, -22]",420.0,2081.73,12.81,76.74,2070.34,11.0,2020-10-01,2020-11-01
29,,LAGOA II,31100411.0,2001.0,15782.0,62364517.0,"(12, 15]","(-Infinito, -26]",290.0,1811.04,12.75,283.98,1820.57,15.0,2020-10-01,2020-11-01
30,,LAGOA II,31100410.0,2001.0,15782.0,62364517.0,"(9, 12]","(26, Infinito]",2840.0,1283.84,9.81,452.14,1351.88,14.0,2020-10-01,2020-11-01
31,,LAGOA II,31100409.0,2001.0,15782.0,62364517.0,"(9, 12]","(22, 26]",3420.0,1638.69,10.07,379.33,1672.21,12.0,2020-10-01,2020-11-01
32,,LAGOA II,31100408.0,2001.0,15782.0,62364517.0,"(9, 12]","(18, 22]",8530.0,1718.34,10.16,363.29,1746.39,10.0,2020-10-01,2020-11-01
33,,LAGOA II,31100407.0,2001.0,15782.0,62364517.0,"(9, 12]","(14, 18]",19060.0,1839.09,10.22,307.61,1854.56,8.0,2020-10-01,2020-11-01
34,,LAGOA II,31100406.0,2001.0,15782.0,62364517.0,"(9, 12]","(10, 14]",41880.0,1906.16,10.24,271.29,1915.23,7.0,2020-10-01,2020-11-01
35,,LAGOA II,31100405.0,2001.0,15782.0,62364517.0,"(9, 12]","(6, 10]",73940.0,1951.09,10.25,237.51,1955.31,5.0,2020-10-01,2020-11-01
36,,LAGOA II,31100404.0,2001.0,15782.0,62364517.0,"(9, 12]","(2, 6]",113080.0,1978.68,10.23,217.04,1980.38,3.0,2020-10-01,2020-11-01
37,,LAGOA II,31100403.0,2001.0,15782.0,62364517.0,"(9, 12]","(-2, 2]",148680.0,1992.52,10.2,202.16,1992.6,1.0,2020-10-01,2020-11-01
38,,LAGOA II,31100402.0,2001.0,15782.0,62364517.0,"(9, 12]","(-6, -2]",154180.0,1984.74,10.19,211.0,1985.79,2.0,2020-10-01,2020-11-01
39,,LAGOA II,31100401.0,2001.0,15782.0,62364517.0,"(9, 12]","(-10, -6]",113810.0,1964.52,10.18,233.19,1968.2,4.0,2020-10-01,2020-11-01
