,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
0,T001,TWIN BUTTES II,31301700.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(26, Infinito]",0.0,0.0,0.0,0.0,0.0,,2020-10-01,2020-11-01
1,T001,TWIN BUTTES II,31301699.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(22, 26]",30.0,2142.88,24.65,22.4,2118.35,1.0,2020-10-01,2020-11-01
2,T001,TWIN BUTTES II,31301698.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(18, 22]",120.0,2083.81,18.01,56.08,2066.56,9.0,2020-10-01,2020-11-01
3,T001,TWIN BUTTES II,31301697.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(14, 18]",300.0,2085.43,16.74,75.75,2070.08,8.0,2020-10-01,2020-11-01
4,T001,TWIN BUTTES II,31301696.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(10, 14]",3560.0,2092.64,16.41,105.74,2078.92,5.0,2020-10-01,2020-11-01
5,T001,TWIN BUTTES II,31301695.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(6, 10]",34870.0,2077.64,17.36,109.49,2063.19,11.0,2020-10-01,2020-11-01
6,T001,TWIN BUTTES II,31301694.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(2, 6]",65050.0,2091.57,16.96,69.59,2075.77,6.0,2020-10-01,2020-11-01
7,T001,TWIN BUTTES II,31301693.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(-2, 2]",68510.0,2085.74,16.77,103.6,2071.57,7.0,2020-10-01,2020-11-01
8,T001,TWIN BUTTES II,31301692.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(-6, -2]",39100.0,2078.68,16.98,128.55,2065.7,10.0,2020-10-01,2020-11-01
9,T001,TWIN BUTTES II,31301691.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(-10, -6]",13990.0,2069.08,16.89,160.59,2058.46,12.0,2020-10-01,2020-11-01
10,T001,TWIN BUTTES II,31301690.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(-14, -10]",1480.0,1945.89,17.69,367.1,1962.83,14.0,2020-10-01,2020-11-01
11,T001,TWIN BUTTES II,31301689.0,2005.0,15863.0,62446193.0,"(15, Infinito]","(-18, -14]",260.0,2102.25,15.74,13.2,2086.55,3.0,2020-10-01,2020-11-01
