,OEM,Model,Site,NOM_ELEMENTO,COD_ELEMENTO
0,GAMESA,G52-850 kW,HIJES,A13,1025.0
1,GAMESA,G47-660 kW,HIJES,A17,1026.0
2,GAMESA,G52-850 kW,HIJES,A05,1028.0
3,GAMESA,G52-850 kW,HIJES,A07,1029.0
4,GAMESA,G52-850 kW,HIJES,A03,1030.0
5,GAMESA,G52-850 kW,HIJES,A06,1031.0
6,GAMESA,G52-850 kW,HIJES,A10,1032.0
7,GAMESA,G47-660 kW,HIJES,A12,1033.0
8,GAMESA,G47-660 kW,HIJES,A18,1034.0
9,GAMESA,G58-850 kW,HONTALBILLA II,A11,1036.0
10,GAMESA,G58-850 kW,HONTALBILLA II,A08,1037.0
11,GAMESA,G58-850 kW,HONTALBILLA II,A01,1038.0
12,GAMESA,G58-850 kW,HONTALBILLA II,A31,1040.0
13,GAMESA,G58-850 kW,HONTALBILLA II,A32,1041.0
14,GAMESA,G58-850 kW,HONTALBILLA II,A07,1042.0
15,GAMESA,G58-850 kW,HONTALBILLA II,A16,1043.0
16,GAMESA,G58-850 kW,HONTALBILLA II,A24,1044.0
17,GAMESA,G58-850 kW,HONTALBILLA II,A05,1045.0
18,GAMESA,G58-850 kW,HONTALBILLA II,A15,1046.0
19,GAMESA,G58-850 kW,HONTALBILLA II,A03,1047.0
20,GAMESA,G58-850 kW,HONTALBILLA II,A02,1049.0
21,GAMESA,G58-850 kW,HONTALBILLA II,A04,1050.0
22,GAMESA,G58-850 kW,HONTALBILLA II,A13,1052.0
23,GAMESA,G58-850 kW,HONTALBILLA II,A14,1053.0
24,GAMESA,G58-850 kW,HONTALBILLA II,A18,1054.0
25,GAMESA,G58-850 kW,HONTALBILLA II,A19,1055.0
26,GAMESA,G58-850 kW,HONTALBILLA II,A20,1056.0
27,GAMESA,G58-850 kW,HONTALBILLA II,A22,1057.0
28,GAMESA,G58-850 kW,HONTALBILLA II,A26,1058.0
29,GAMESA,G58-850 kW,HONTALBILLA II,A29,1059.0
30,GAMESA,G58-850 kW,HONTALBILLA II,A30,1060.0
31,GAMESA,G58-850 kW,HONTALBILLA II,A12,1061.0
32,GAMESA,G58-850 kW,HONTALBILLA II,A34,1063.0
33,GAMESA,G58-850 kW,HONTALBILLA II,A10,1066.0
34,GAMESA,G58-850 kW,HONTALBILLA II,A23,1067.0
35,GAMESA,G58-850 kW,HONTALBILLA II,A28,1068.0
36,GAMESA,G58-850 kW,HONTALBILLA II,A33,1069.0
37,GAMESA,G58-850 kW,HONTALBILLA I,A16,1070.0
38,GAMESA,G58-850 kW,HONTALBILLA I,A10,1074.0
39,GAMESA,G58-850 kW,HONTALBILLA I,A31,1075.0
40,GAMESA,G58-850 kW,HONTALBILLA I,A15,1076.0
41,GAMESA,G58-850 kW,HONTALBILLA I,A25,1077.0
42,GAMESA,G58-850 kW,HONTALBILLA I,A06,1078.0
43,GAMESA,G58-850 kW,HONTALBILLA I,A42,1080.0
44,GAMESA,G58-850 kW,HONTALBILLA I,A26,1082.0
45,GAMESA,G58-850 kW,HONTALBILLA I,A08,1083.0
46,GAMESA,G58-850 kW,HONTALBILLA I,A35,1084.0
47,GAMESA,G58-850 kW,HONTALBILLA I,A05,1085.0
48,GAMESA,G58-850 kW,HONTALBILLA I,A30,1086.0
49,GAMESA,G58-850 kW,HONTALBILLA I,A07,1087.0
50,GAMESA,G58-850 kW,HONTALBILLA I,A37,1088.0
51,GAMESA,G58-850 kW,HONTALBILLA I,A38,1089.0
52,GAMESA,G58-850 kW,HONTALBILLA I,A40,1090.0
53,GAMESA,G58-850 kW,HONTALBILLA I,A27,1092.0
54,GAMESA,G58-850 kW,HONTALBILLA I,A03,1093.0
55,GAMESA,G58-850 kW,HONTALBILLA I,A20,1094.0
