Turbine,Severity Score
8401_,91.66408184933199
8402_,79.22067234255145
6813_,78.74574659206021
8385_,77.66876637776055
6856_,76.61986898344188
6844_,75.61350567383502
8400_,73.08234598302694
6839_,72.5529231516097
7628_,72.39232156781547
6849_,71.96657110266995
6808_,71.86248132750008
6822_,71.44163649203465
8055_,71.02251245208997
7556_,70.25220202041443
6833_,68.72540585338923
8779_,68.64192271332878
6880_,68.55553513885152
6852_,68.50415057529243
6846_,68.49557801019166
6834_,68.28774603795362
6811_,67.9200225799991
8398_,67.24846535248011
6850_,67.13828879473012
8760_,66.759906970182
6807_,66.73228823090935
6893_,66.58510995297388
7595_,66.43367469619288
7619_,66.2196176892211
6890_,66.01538547404452
8395_,65.87568321453934
8761_,65.58015903820343
8766_,65.53430435317468
8399_,65.47330432376837
8391_,64.82989833758755
7644_,64.73210342794788
7561_,64.57981143738223
7554_,64.50013613733339
7627_,64.49107633253799
7641_,64.33878434197233
7632_,64.31734413206459
7638_,64.25004923712807
7612_,64.17411194629435
8394_,64.1613141322838
7611_,64.09775724656244
8057_,64.06490845849427
9659_,63.94421427230028
7624_,63.835289941244774
8404_,63.817170331653976
7551_,63.68299795067913
7623_,63.68299795067913
7606_,63.682997950679116
7584_,63.61570305574262
7636_,63.61570305574262
8403_,63.51790814610296
7630_,63.50884834130756
7633_,63.472470869972355
6853_,63.45732552559484
6429_,63.44784831190127
7552_,63.441970855269226
8406_,63.40199362687252
7625_,63.3746759603327
7631_,63.36561615553732
7640_,63.36561615553732
6830_,63.344593354527724
6829_,63.23518178377758
11947_,63.22238396976706
11817_,63.22238396976706
7629_,63.213324164971674
15171_,63.2011518428094
6835_,63.149767279250284
7576_,63.12458906012741
7553_,63.04865176929368
11583_,63.04865176929366
7559_,62.98135687435717
6342_,62.980939465459
5861_,62.972297069561755
7635_,62.74032977894725
7620_,62.72262757825464
8739_,62.65533268331812
7639_,62.655332683318115
7546_,62.64627287852274
3837_,62.588037788381605
8775_,62.51168308864971
7637_,62.39244796910231
7558_,62.33857638002456
7545_,62.30745087347316
14583_,62.255718731812365
6841_,62.25316187549728
7596_,62.218715768628904
5881_,62.19471870240606
11967_,62.19471870240606
7573_,62.19471870240606
7608_,62.18565889761067
8083_,62.167191709918185
7594_,62.08786398797101
9641_,62.080178643592674
10015_,61.95325228210968
7565_,61.92319159229301
8387_,61.65124707328179
8386_,61.545227176643074
10481_,61.536167371847675
6820_,61.51811759305337
7574_,61.45351780658556
8768_,61.44113740147321
6845_,61.3180407959901
6821_,61.0399396636023
536_,61.02693376664167
6861_,60.91067166930955
7447_,60.85320156616829
7582_,60.63029408034917
10020_,60.545295741722065
14643_,60.52994231439444
6409_,60.46424598125612
7570_,60.42308759995938
6884_,60.31685837737258
8726_,60.2826203534543
11582_,60.25212033875115
12143_,60.239322524740636
7626_,60.23068012884341
8765_,60.09609033897039
7609_,60.07188518979746
8738_,60.041593258044394
7643_,60.03882831877923
8759_,60.032533453249016
10372_,60.00832830407608
8764_,59.94379834840475
7562_,59.85603631351043
7563_,59.797801223369326
8731_,59.70277125299483
6814_,59.639561945375156
7560_,59.54771432316402
8388_,59.54162878358188
7583_,59.49535668965497
7550_,59.467621614217
7566_,59.38262451858786
6876_,59.221620301328514
10028_,59.20771116521442
7325_,59.12977267911737
7555_,59.123895222485324
5004_,58.96510028343938
6838_,58.87699067044337
11574_,58.77331830417167
14509_,58.77013595600831
12210_,58.767371016743134
7575_,58.7028410610718
4579_,58.60504615143214
6823_,58.2272898187323
14732_,58.15978684084569
6848_,58.13867105005336
4652_,58.12022702134717
8753_,58.025197050972686
6899_,57.68414385172143
6832_,57.58111889328627
12183_,57.54688086936799
8899_,57.50987790618455
7593_,57.507738458767626
6883_,57.40964247639513
11609_,57.27505268652209
7602_,57.253496140449045
5851_,57.229916483124356
8756_,57.19899905952305
8763_,57.12306176868931
8392_,57.116558820209
8396_,56.96503181664323
4583_,56.885147190646286
5858_,56.85174274152636
15607_,56.75343867620374
3754_,56.71791793865318
11569_,56.65338798298185
6851_,56.60207325021921
8085_,56.5528979648735
15185_,56.50288786173144
8087_,56.476681517295205
15660_,56.452228071366086
8767_,56.3909206776642
12464_,56.34829484616763
10026_,56.29714293398422
7569_,56.28406596322914
7588_,56.28150910691406
6868_,56.27923140734352
12206_,56.26636376253652
6837_,56.20557181608033
4980_,56.04677687703437
4971_,56.009773913850914
7557_,56.003896457218865
7423_,55.99760159168864
10031_,55.96454472067042
7548_,55.948981967394715
6892_,55.9274487677042
7579_,55.91218708716135
6857_,55.883688267721524
8078_,55.87218794277634
5452_,55.83604171337753
11579_,55.82131253490018
4648_,55.82110445195007
16009_,55.753809557013575
8780_,55.74751469148336
14483_,55.74751469148334
12463_,55.692809527607274
7585_,55.63831244668129
11964_,55.6149408723067
9646_,55.59598768791758
14851_,55.56472268621456
7591_,55.521842266399055
7610_,55.451990515147465
14500_,55.45199051514745
7581_,55.32093065153948
7478_,55.314427703059174
14499_,55.20190361494216
9642_,55.18032515288079
12185_,55.14996339033126
8748_,55.131843780740475
